0,liver_0,liver_1
,liver,There is limited information available on the use of Axonrich Tablet in patients with liver disease. Please consult your doctor.
,liver,Aziron 500mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aziron 500mg Tablet may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Averm Plus 12mg Tablet in patients with liver disease. Please consult your doctor.
,liver,"Arrestin  P 100mg/500mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Arrestin  P 100mg/500mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Arrestin  P 100mg/500mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Amchek-Z Tablet should be used with caution in patients with liver disease. Dose adjustment of Amchek-Z Tablet may be needed. Please consult your doctor.<BR>Amchek-Z Tablet is started at a lower dose in patients with liver disease and further increased slowly with careful monitoring.
,liver,"Aclofen S Tablet should be used with caution in patients with liver disease. Dose adjustment of Aclofen S Tablet may be needed. Please consult your doctor.<BR>However, the use of Aclofen S Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Arch L Forte Tablet should be used with caution in patients with severe liver disease. Dose adjustment of Arch L Forte Tablet may be needed. Please consult your doctor.<BR>No dose adjustment is recommended in patients with severe liver disease.
,,
,liver,"Anthro 100 mg/500 mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Anthro 100 mg/500 mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Anthro 100 mg/500 mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Amvalor Chrono 300 Tablet CR should be used with caution in patients with liver disease. Dose adjustment of Amvalor Chrono 300 Tablet CR may be needed. Please consult your doctor.<BR>Use of Amvalor Chrono 300 Tablet CR is not recommended in patients with severe liver disease and active liver disease.
,liver,"Aceflam 100mg/500mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aceflam 100mg/500mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Aceflam 100mg/500mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Arodyl Syrup should be used with caution in patients with liver disease. Dose adjustment of Arodyl Syrup may be needed. Please consult your doctor.
,liver,Arpan 40mg Tablet should be used with caution in patients with severe liver disease. Dose adjustment of Arpan 40mg Tablet may be needed. Please consult your doctor.
,liver,Azutan CT 40/12.5 Tablet should be used with caution in patients with liver disease. Dose adjustment of Azutan CT 40/12.5 Tablet may be needed. Please consult your doctor.<BR>Use of Azutan CT 40/12.5 Tablet is not recommended in patients with severe liver disease.
,liver,AL 5mg Tablet is safe to use in patients with liver disease. No dose adjustment of AL 5mg Tablet is recommended.
,liver,Adequet SR 100 Tablet should be used with caution in patients with liver disease. Dose adjustment of Adequet SR 100 Tablet may be needed. Please consult your doctor.
,liver,Acronil-OD 400 Tablet ER should be used with caution in patients with liver disease. Dose adjustment of Acronil-OD 400 Tablet ER may be needed. Please consult your doctor.
,liver,No interaction found/established
,liver,"Acetal SP 100 mg/500 mg/15 mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Acetal SP 100 mg/500 mg/15 mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Acetal SP 100 mg/500 mg/15 mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Azix 250mg Tablet DT should be used with caution in patients with liver disease. Dose adjustment of Azix 250mg Tablet DT may be needed. Please consult your doctor.
,liver,Autocort 6mg Tablet is safe to use in patients with liver disease. No dose adjustment of Autocort 6mg Tablet is recommended.
,liver,Acitec D 10mg/20mg Capsule should be used with caution in patients with liver disease. Dose adjustment of Acitec D 10mg/20mg Capsule may be needed. Please consult your doctor.<BR>Use of Acitec D 10mg/20mg Capsule is not recommended in patients with moderate and severe liver disease.
,liver,Aaram Tablet should be used with caution in patients with liver disease. Dose adjustment of Aaram Tablet may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Axid O Suspension in patients with liver disease. Please consult your doctor.
,liver,Atorvacare F 10mg/160mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Atorvacare F 10mg/160mg Tablet may be needed. Please consult your doctor.<BR>Use of Atorvacare F 10mg/160mg Tablet is not recommended in patients with severe liver disease.
,liver,Aquatel CH 40mg/12.5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aquatel CH 40mg/12.5mg Tablet may be needed. Please consult your doctor.<BR>Use of Aquatel CH 40mg/12.5mg Tablet is not recommended in patients with severe liver disease.
,liver,Algic MR 100mg/4mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Algic MR 100mg/4mg Tablet may be needed. Please consult your doctor.<BR>Use of Algic MR 100mg/4mg Tablet is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while the patient is taking this medicine.
,liver,There is limited information available on the use of Acetol 200mg Tablet CR in patients with liver disease. Please consult your doctor.
,liver,"Almid Plus Tablet should be used with caution in patients with liver disease. Dose adjustment of Almid Plus Tablet may be needed. Please consult your doctor.<BR>Inform your doctor if you develop signs of jaundice like yellowing of eyes and skin, itching, and clay colored stools while taking this medicine."
,liver,"Acepep SP Tablet should be used with caution in patients with liver disease. Dose adjustment of Acepep SP Tablet may be needed. Please consult your doctor.<BR>However, the use of Acepep SP Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Aceros 100mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aceros 100mg Tablet may be needed. Please consult your doctor.<BR>Use of Aceros 100mg Tablet is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while the patient is taking this medicine.
,liver,There is limited information available on the use of Altacef 750mg Injection in patients with liver disease. Please consult your doctor.
,liver,Alpan D 10mg/40mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Alpan D 10mg/40mg Tablet may not be needed in these patients. Please consult your  doctor.
,liver,Aldo 10 Tablet should be used with caution in patients with liver disease. Dose adjustment of Aldo 10 Tablet may be needed. Please consult your doctor.<BR>Aldo 10 Tablet is started at a lower dose in patients with liver disease and further increased slowly with careful monitoring.
,liver,Alpenta 40mg Tablet should be used with caution in patients with severe liver disease. Dose adjustment of Alpenta 40mg Tablet may be needed. Please consult your doctor.
,liver,Avipanta 40mg Injection should be used with caution in patients with severe liver disease. Dose adjustment of Avipanta 40mg Injection may be needed. Please consult your doctor.
,liver,Atorstin CV 20mg/75mg Capsule should be used with caution in patients with liver disease. Dose adjustment of Atorstin CV 20mg/75mg Capsule may be needed. Please consult your doctor.<BR>Use of Atorstin CV 20mg/75mg Capsule is not recommended in patients with severe liver disease and active liver disease.
,liver,Aptacid Tablet should be used with caution in patients with liver disease. Dose adjustment of Aptacid Tablet may be needed. Please consult your doctor.<BR>Use of Aptacid Tablet is not recommended in patients with moderate and severe liver disease.
,liver,"Acelopat SP 100mg/325mg/15mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Acelopat SP 100mg/325mg/15mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Acelopat SP 100mg/325mg/15mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Asmotone SP Syrup should be used with caution in patients with liver disease. Dose adjustment of Asmotone SP Syrup may be needed. Please consult your doctor.<BR>Limited information is available on the use of Asmotone SP Syrup in these patients.
,liver,There is limited information available on the use of Acosha 100mg Tablet in patients with liver disease. Please consult your doctor.
,liver,Amlomet 5mg/50mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Amlomet 5mg/50mg Tablet may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Addicef 500mg Tablet in patients with liver disease. Please consult your doctor.
,liver,"Anspas Forte 500mg/450mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Anspas Forte 500mg/450mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Anspas Forte 500mg/450mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,There is limited information available on the use of Actibile 600 SR Tablet in patients with liver disease. Please consult your doctor.
,liver,Anastrocare 1mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Anastrocare 1mg Tablet may be needed. Please consult your doctor.<BR>Limited information is available on the use of Anastrocare 1mg Tablet in these patients. No dose adjustment is recommended in patients with mild to moderate liver disease.
,liver,Altrip 10mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Altrip 10mg Tablet may be needed. Please consult your doctor.<BR>Use of Altrip 10mg Tablet is not recommended in patients with severe liver disease and active liver disease.
,liver,Amlong 7.5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Amlong 7.5mg Tablet may be needed. Please consult your doctor.<BR>Amlong 7.5mg Tablet is started at a lower dose in patients with liver disease and further increased slowly with careful monitoring.
,liver,Altodin 10mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Altodin 10mg Tablet may be needed. Please consult your doctor.
,liver,Augustin Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Augustin Tablet may not be needed in these patients. Please consult your  doctor.
,liver,Alzolid 600mg Infusion should be used with caution in patients with severe liver disease. Dose adjustment of Alzolid 600mg Infusion may be needed. Please consult your doctor.<BR>Limited information is available on the use of Alzolid 600mg Infusion in these patients. No dose adjustment is recommended in patients with mild to moderate liver disease.
,liver,"Advark-SP Tablet should be used with caution in patients with liver disease. Dose adjustment of Advark-SP Tablet may be needed. Please consult your doctor.<BR>However, the use of Advark-SP Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Alprop 0.25 mg/20 mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Alprop 0.25 mg/20 mg Tablet may be needed. Please consult your doctor.<BR>Regular monitoring of blood pressure is advisable for dose adjustment.
,liver,"Azopar SP 100mg/325mg/10mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Azopar SP 100mg/325mg/10mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Azopar SP 100mg/325mg/10mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,,
,liver,There is limited information available on the use of Avilan 40mg Tablet SR in patients with liver disease. Please consult your doctor.
,liver,Acroflu 150mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Acroflu 150mg Tablet may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Ab Penem 200mg Tablet in patients with liver disease. Please consult your doctor.
,liver,There is limited information available on the use of Arti Nate 50mg Tablet in patients with liver disease. Please consult your doctor.
,liver,Aziden 500mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aziden 500mg Tablet may be needed. Please consult your doctor.
,,
,liver,"Acogesic-P 100mg/325mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Acogesic-P 100mg/325mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Acogesic-P 100mg/325mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Amgrace 200mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Amgrace 200mg Tablet may not be needed in these patients. Please consult your  doctor.
,liver,Albigesic Forte Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Albigesic Forte Tablet may not be needed in these patients. Please consult your  doctor.
,liver,Avopan-D 10mg/40mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Avopan-D 10mg/40mg Tablet may not be needed in these patients. Please consult your  doctor.
,liver,No interaction found/established
,liver,Aroget DX Syrup American Ice Cream is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,There is limited information available on the use of Apcyp-T Syrup in patients with liver disease. Please consult your doctor.
,liver,There is limited information available on the use of Albact 500mg Tablet in patients with liver disease. Please consult your doctor.
,liver,Acent TZ 100mg/2mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Acent TZ 100mg/2mg Tablet may be needed. Please consult your doctor.<BR>Use of Acent TZ 100mg/2mg Tablet is not advised in patients with severe liver disease. Liver function tests are recommended before the start of treatment and then on a regular basis as advised.
,,
,liver,Artefan 80mg/480mg Tablet should be used with caution in patients with severe liver disease. Dose adjustment of Artefan 80mg/480mg Tablet may be needed. Please consult your doctor.<BR>No dose adjustment is recommended in patients with severe liver disease.
,liver,No interaction found/established
,liver,"There is limited information available on the use of Agafin Tablet in patients with liver disease. Please consult your doctor.<BR>However, Agafin Tablet should be used with caution in these patients."
,liver,Abirab DSR Capsule should be used with caution in patients with liver disease. Dose adjustment of Abirab DSR Capsule may be needed. Please consult your doctor.<BR>Use of Abirab DSR Capsule is not recommended in patients with moderate and severe liver disease.
,liver,No interaction found/established
,liver,Azim 500mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Azim 500mg Tablet may be needed. Please consult your doctor.
,liver,Andep 10 mg/1 mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Andep 10 mg/1 mg Tablet may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Aver 8mg Tablet in patients with liver disease. Please consult your doctor.
,liver,Argex 250mg Capsule should be used with caution in patients with liver disease. Dose adjustment of Argex 250mg Capsule may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Apgain Syrup in patients with liver disease. Please consult your doctor.
,liver,Amphyl D 400mg/30mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Amphyl D 400mg/30mg Tablet may be needed. Please consult your doctor.
,liver,Amigatin LS 100mg/10mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Amigatin LS 100mg/10mg Tablet may be needed. Please consult your doctor.<BR>Use of Amigatin LS 100mg/10mg Tablet is not recommended in patients with severe liver disease.
,liver,Avilpro D 10mg/20mg Capsule should be used with caution in patients with liver disease. Dose adjustment of Avilpro D 10mg/20mg Capsule may be needed. Please consult your doctor.<BR>Use of Avilpro D 10mg/20mg Capsule is not recommended in patients with moderate and severe liver disease.
,liver,Apenta 40mg Tablet should be used with caution in patients with severe liver disease. Dose adjustment of Apenta 40mg Tablet may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Angenec Plus 250 mg/50 mg/325 mg Tablet in patients with liver disease. Please consult your doctor.
,,
,,
,liver,Ambro TS Tablet should be used with caution in patients with liver disease. Dose adjustment of Ambro TS Tablet may be needed. Please consult your doctor.
,liver,Azigon 500mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Azigon 500mg Tablet may be needed. Please consult your doctor.
,liver,Aparin 50mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aparin 50mg Tablet may be needed. Please consult your doctor.<BR>Use of Aparin 50mg Tablet is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while you are taking this medicine.
,liver,Arive 20mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Arive 20mg Tablet may not be needed in these patients. Please consult your  doctor.
,liver,No interaction found/established
,liver,Ambimet XL 50 Tablet should be used with caution in patients with liver disease. Dose adjustment of Ambimet XL 50 Tablet may be needed. Please consult your doctor.
,liver,Abclopid A 150 Capsule should be used with caution in patients with liver disease. Dose adjustment of Abclopid A 150 Capsule may be needed. Please consult your doctor.<BR>Use of Abclopid A 150 Capsule is not recommended in patients with severe liver disease.
,liver,Amwel 5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Amwel 5mg Tablet may be needed. Please consult your doctor.<BR>Amwel 5mg Tablet is started at a lower dose in patients with liver disease and further increased slowly with careful monitoring.
,liver,Anxizam Plus 0.5 mg/25 mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Anxizam Plus 0.5 mg/25 mg Tablet may be needed. Please consult your doctor.<BR>Use of Anxizam Plus 0.5 mg/25 mg Tablet is not recommended in patients with severe liver disease.
,liver,Apkolin 250 Capsule should be used with caution in patients with liver disease. Dose adjustment of Apkolin 250 Capsule may be needed. Please consult your doctor.<BR>Regular monitoring of liver function tests is recommended while you are taking this medicine
,liver,Abijem-DSR Capsule should be used with caution in patients with liver disease. Dose adjustment of Abijem-DSR Capsule may be needed. Please consult your doctor.<BR>Use of Abijem-DSR Capsule is not recommended in patients with moderate and severe liver disease.
,liver,Atoran F 10mg/160mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Atoran F 10mg/160mg Tablet may be needed. Please consult your doctor.<BR>Use of Atoran F 10mg/160mg Tablet is not recommended in patients with severe liver disease.
,liver,"Acetec-P Tablet should be used with caution in patients with liver disease. Dose adjustment of Acetec-P Tablet may be needed. Please consult your doctor.<BR>However, the use of Acetec-P Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,No interaction found/established
,liver,Aktilax Syrup is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Aktilax Syrup may not be needed in these patients. Please consult your  doctor.
,liver,"Anze 5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Anze 5mg Tablet may be needed. Please consult your doctor.<BR>Inform your doctor if you experience fatigue, develop yellowing of the skin and eyes or white stools while taking this medicine."
,liver,Amlojack 2.5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Amlojack 2.5mg Tablet may be needed. Please consult your doctor.<BR>Amlojack 2.5mg Tablet is started at a lower dose in patients with liver disease and further increased slowly with careful monitoring.
,liver,There is limited information available on the use of Appimet Syrup in patients with liver disease. Please consult your doctor.
,liver,There is limited information available on the use of Aceros MR 100mg/325mg/250mg Tablet in patients with liver disease. Please consult your doctor.
,liver,Amoxy A Forte Capsule should be used with caution in patients with liver disease. Dose adjustment of Amoxy A Forte Capsule may be needed. Please consult your doctor.<BR>Regular monitoring of liver function tests is recommended while you are taking this medicine
,liver,Adcef LB Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Adcef LB Tablet may not be needed in these patients. Please consult your  doctor.
,liver,"Avilox Suspension is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Avilox Suspension may not be needed in these patients. Please consult your  doctor.<BR>Inform your doctor if you develop any signs of jaundice like yellowing of eyes and skin, itching, and clay colored stools while taking this medicine."
,liver,Aktilor 5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aktilor 5mg Tablet may be needed. Please consult your doctor.
,liver,No interaction found/established
,liver,Akticet L 5mg Tablet is safe to use in patients with liver disease. No dose adjustment of Akticet L 5mg Tablet is recommended.
,liver,Antec 150mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Antec 150mg Tablet may be needed. Please consult your doctor.
,liver,Alrax 10mg Syrup should be used with caution in patients with liver disease. Dose adjustment of Alrax 10mg Syrup may be needed. Please consult your doctor.
,liver,Aknea 10 Softgel Capsule is probably unsafe to use in patients with liver disease and should be avoided. Please consult your doctor.
,liver,Atline 100mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Atline 100mg Tablet may be needed. Please consult your doctor.<BR>Use of Atline 100mg Tablet is not recommended in patients with severe liver disease.
,liver,There is limited information available on the use of Asicryl 1000 mg/20 mg Suspension in patients with liver disease. Please consult your doctor.
,liver,Aggrifib Injection should be used with caution in patients with liver disease. Dose adjustment of Aggrifib Injection may be needed. Please consult your doctor.<BR>Use of Aggrifib Injection is not recommended in patients with severe liver disease.
,liver,Acephil 100mg Capsule should be used with caution in patients with liver disease. Dose adjustment of Acephil 100mg Capsule may be needed. Please consult your doctor.
,liver,"There is limited information available on the use of Actiderm 100mg Capsule in patients with liver disease. Please consult your doctor.<BR>Inform your doctor if you develop signs of jaundice like yellowing of eyes and skin, itching, and clay colored stools while taking this medicine."
,liver,Axeldox 100 Capsule should be used with caution in patients with liver disease. Dose adjustment of Axeldox 100 Capsule may be needed. Please consult your doctor.
,liver,Aksitram EF Effervescent Tablet should be used with caution in patients with liver disease. Dose adjustment of Aksitram EF Effervescent Tablet may be needed. Please consult your doctor.
,liver,Alpra 0.5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Alpra 0.5mg Tablet may be needed. Please consult your doctor.
,liver,"Acefen Forte 400mg/600mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Acefen Forte 400mg/600mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Acefen Forte 400mg/600mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,,
,liver,Aclonec S 100mg/10mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aclonec S 100mg/10mg Tablet may be needed. Please consult your doctor.<BR>Use of Aclonec S 100mg/10mg Tablet is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while the patient is taking this medicine.
,,
,liver,Arive 25mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Arive 25mg Tablet may be needed. Please consult your doctor.
,liver,Alpro Forte Tablet should be used with caution in patients with liver disease. Dose adjustment of Alpro Forte Tablet may be needed. Please consult your doctor.<BR>Regular monitoring of blood pressure is advisable for dose adjustment.
,liver,Arexol P 30mg/4mg/500mg/5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Arexol P 30mg/4mg/500mg/5mg Tablet may be needed. Please consult your doctor.
,liver,AM Slim 120mg Capsule is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of AM Slim 120mg Capsule may not be needed in these patients. Please consult your  doctor.
,liver,"Aclomac SP 100mg/325mg/10mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aclomac SP 100mg/325mg/10mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Aclomac SP 100mg/325mg/10mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Aelxim 100 Dry Syrup should be used with caution in patients with liver disease. Dose adjustment of Aelxim 100 Dry Syrup may be needed. Please consult your doctor.
,liver,No interaction found/established
,liver,Amoxy-DJ 250mg/250mg Capsule should be used with caution in patients with liver disease. Dose adjustment of Amoxy-DJ 250mg/250mg Capsule may be needed. Please consult your doctor.<BR>Regular monitoring of liver function tests is recommended while you are taking this medicine
,liver,Amvio TS Tablet should be used with caution in patients with liver disease. Dose adjustment of Amvio TS Tablet may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Atecard 100mg Tablet in patients with liver disease. Please consult your doctor.
,liver,Alpraz 0.25mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Alpraz 0.25mg Tablet may be needed. Please consult your doctor.
,liver,There is limited information available on the use of Acef LB 200mg/60Million spores Tablet in patients with liver disease. Please consult your doctor.
,liver,Acirex 5mg/2.5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Acirex 5mg/2.5mg Tablet may be needed. Please consult your doctor.
,liver,Alcibard Forte Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Alcibard Forte Tablet may not be needed in these patients. Please consult your  doctor.
,liver,Allcold GO Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Allcold GO Tablet may not be needed in these patients. Please consult your  doctor.
,liver,Azeloc 250mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Azeloc 250mg Tablet may be needed. Please consult your doctor.
,liver,Atnol AM Tablet should be used with caution in patients with liver disease. Dose adjustment of Atnol AM Tablet may be needed. Please consult your doctor.<BR>Atnol AM Tablet is started at a lower dose in patients with liver disease and further increased slowly with careful monitoring.
,liver,"Apar SP 100mg/500mg/15mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Apar SP 100mg/500mg/15mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Apar SP 100mg/500mg/15mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,No interaction found/established
,liver,There is limited information available on the use of Asmide 50mg Capsule in patients with liver disease. Please consult your doctor.<BR>Use of Asmide 50mg Capsule is not recommended in patients with severe liver disease.
,liver,Azieg 250mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Azieg 250mg Tablet may be needed. Please consult your doctor.
,liver,"Acloheal SP 100mg/325mg/10mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Acloheal SP 100mg/325mg/10mg Tablet may be needed. Please consult your doctor.<BR>However, the use of Acloheal SP 100mg/325mg/10mg Tablet is not recommended in patients with severe liver disease and active liver disease."
,liver,Aviglen 5mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Aviglen 5mg Tablet may be needed. Please consult your doctor.<BR>Use of Aviglen 5mg Tablet is not recommended in patients with severe liver disease. They can experience very low blood sugar levels while taking this medicine.
,liver,Axiglim M 1mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Axiglim M 1mg Tablet may be needed. Please consult your doctor.<BR>Axiglim M 1mg Tablet is generally started with low dose in patients with mild to moderate liver disease and its use is not recommended in patients with severe liver disease.
,liver,Azenap 10 Tablet should be used with caution in patients with liver disease. Dose adjustment of Azenap 10 Tablet may be needed. Please consult your doctor.<BR>Use of Azenap 10 Tablet is not recommended in patients with severe liver disease.
,liver,Acimax 100mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Acimax 100mg Tablet may be needed. Please consult your doctor.<BR>Use of Acimax 100mg Tablet is not recommended in patients with severe liver disease. Regular monitoring of liver function tests is advisable while the patient is taking this medicine.
,liver,Aceline-LM Tablet should be used with caution in patients with liver disease. Dose adjustment of Aceline-LM Tablet may be needed. Please consult your doctor.
,liver,Alercold-Plus Tablet should be used with caution in patients with liver disease. Dose adjustment of Alercold-Plus Tablet may be needed. Please consult your doctor.
,liver,Azifer 500mg Tablet should be used with caution in patients with liver disease. Dose adjustment of Azifer 500mg Tablet may be needed. Please consult your doctor.
