0,breastfeeding_0,breastfeeding_1
,breastfeeding,Information regarding the use of Albigesic Forte Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Avopan-D 10mg/40mg Tablet should be used with caution during breastfeeding. Breastfeeding should be held until the treatment of the mother is completed and the drug is eliminated from her body.
,breastfeeding,Information regarding the use of Aceclean Ear Wax Drop during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Aroget DX Syrup American Ice Cream is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Apcyp-T Syrup during breastfeeding is not available. Please consult your doctor.
,breastfeeding,"Albact 500mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>Avoid prolonged use of Albact 500mg Tablet, since it may have possible effects such as rash and diarrhea."
,breastfeeding,Information regarding the use of Acent TZ 100mg/2mg Tablet during breastfeeding is not available. Please consult your doctor.
,,
,breastfeeding,Artefan 80mg/480mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Azisite 1% Eye Ointment is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>It should be wiped off thoroughly prior to nursing if it is being applied to the breast or nipple area.
,breastfeeding,Information regarding the use of Agafin Tablet during breastfeeding is not available. Please consult your doctor.<BR>Agafin Tablet is not indicated in women.
,breastfeeding,Abirab DSR Capsule is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Acnechio-BP Gel is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Azim 500mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Andep 10 mg/1 mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Aver 8mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Argex 250mg Capsule is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Information regarding the use of Apgain Syrup during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Amphyl D 400mg/30mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Amigatin LS 100mg/10mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Avilpro D 10mg/20mg Capsule is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Apenta 40mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Angenec Plus 250 mg/50 mg/325 mg Tablet during breastfeeding is not available. Please consult your doctor.
,,
,,
,breastfeeding,Information regarding the use of Ambro TS Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Azigon 500mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Aparin 50mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Arive 20mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Actsone F Cream during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Ambimet XL 50 Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Abclopid A 150 Capsule is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Amwel 5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Anxizam Plus 0.5 mg/25 mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Apkolin 250 Capsule is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Abijem-DSR Capsule is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Atoran F 10mg/160mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Acetec-P Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Anicob Cream is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Aktilax Syrup is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Anze 5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Use of Anze 5mg Tablet immediately after childbirth should be avoided.
,breastfeeding,Amlojack 2.5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Appimet Syrup during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Aceros MR 100mg/325mg/250mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Amoxy A Forte Capsule is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Adcef LB Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,"Avilox Suspension is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Baby should be closely monitored for development of fever, loss of appetite and diarrhea. In case, any of the above happens please inform your doctor immediately."
,breastfeeding,Aktilor 5mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Information regarding the use of Avderm Ointment during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Akticet L 5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Larger doses or more prolonged use of Akticet L 5mg Tablet may cause drowsiness and other effects in the baby or decrease the milk supply
,breastfeeding,Antec 150mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Alrax 10mg Syrup is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Larger doses or prolonged use of Alrax 10mg Syrup may cause sleepiness and other effects in the baby
,breastfeeding,Aknea 10 Softgel Capsule is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Atline 100mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Asicryl 1000 mg/20 mg Suspension during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Aggrifib Injection should be used with caution during breastfeeding. Breastfeeding should be held until the treatment of the mother is completed and the drug is eliminated from her body.
,breastfeeding,Information regarding the use of Acephil 100mg Capsule during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Actiderm 100mg Capsule is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Axeldox 100 Capsule during breastfeeding is not available. Please consult your doctor.
,breastfeeding,"Aksitram EF Effervescent Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Consult a doctor immediately if the baby shows signs of increased sleepiness (more than usual), difficulty breastfeeding, breathing problems, or limpness."
,breastfeeding,Alpra 0.5mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Acefen Forte 400mg/600mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,,
,breastfeeding,Information regarding the use of Aclonec S 100mg/10mg Tablet during breastfeeding is not available. Please consult your doctor.
,,
,breastfeeding,Arive 25mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Alpro Forte Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Arexol P 30mg/4mg/500mg/5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,AM Slim 120mg Capsule is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Information regarding the use of Aclomac SP 100mg/325mg/10mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,"Aelxim 100 Dry Syrup is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>Avoid prolonged use of Aelxim 100 Dry Syrup, since it may have possible effects such as rash and diarrhea."
,breastfeeding,Arest Eye Drop is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Amoxy-DJ 250mg/250mg Capsule is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Amvio TS Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Atecard 100mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Alpraz 0.25mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Acef LB 200mg/60Million spores Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Acirex 5mg/2.5mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Alcibard Forte Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Allcold GO Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Azeloc 250mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Atnol AM Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Apar SP 100mg/500mg/15mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Atokidz Lotion is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Asmide 50mg Capsule is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Azieg 250mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Information regarding the use of Acloheal SP 100mg/325mg/10mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Aviglen 5mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Monitor the breastfed baby’s blood sugar during treatment with Aviglen 5mg Tablet
,breastfeeding,Axiglim M 1mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Azenap 10 Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Information regarding the use of Acimax 100mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Aceline-LM Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Alercold-Plus Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Azifer 500mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Addpril 2.5 Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Azofen T 200 mg/1 mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Atorfine 20mg Tablet is unsafe to use during breastfeeding. Data suggests that the drug may cause toxicity to the baby.
,breastfeeding,Information regarding the use of Acivas-SP Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Acesoft-MR Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Aryl MR Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Azion 250mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,,
,breastfeeding,Information regarding the use of Agonyx-MR Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Atorsyn 10mg Tablet is unsafe to use during breastfeeding. Data suggests that the drug may cause toxicity to the baby.
,breastfeeding,Alnacef 1000mg Injection should be used with caution during breastfeeding. Breastfeeding should be held until the treatment of the mother is completed and the drug is eliminated from her body.
,breastfeeding,Information regarding the use of Aticus SP 100mg/325mg/15mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Astal 10mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Afen MR 100mg/325mg/250mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Advadox 20mg Injection during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Amibactin BD 500mg/600mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Azin 250 Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Auctimet PG 2mg/500mg/15mg Tablet SR is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Monitor the breastfed baby’s blood sugar during treatment with Auctimet PG 2mg/500mg/15mg Tablet SR
,breastfeeding,Information regarding the use of Abeolin 100 Capsule during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Alencit Plus 500mg/800mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Ansac-MR 100mg/325mg/250mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Information regarding the use of Alizol-IP 40mg/150mg Capsule SR during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Ampilox 125 mg/125 mg Injection is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.
,breastfeeding,Information regarding the use of Acetrio-SP Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Affopride 1mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Monitoring of the breastfed infant's blood glucose is advisable during maternal therapy with Affopride 1mg Tablet
,breastfeeding,Information regarding the use of Achenil Plus 100mg/500mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Antagon 40mg Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.
,breastfeeding,Azinol 250mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.<BR>There may be a possibility of diarrhea or rash in the baby.
,breastfeeding,Apex Plus 0.25mg/20mg Tablet is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.
,breastfeeding,Information regarding the use of Ase Plus 50mg/10mg Tablet during breastfeeding is not available. Please consult your doctor.
,breastfeeding,Ataxy 10 Tablet is probably safe to use during breastfeeding. Limited human data suggests that the drug does not represent any significant risk to the baby.<BR>Larger doses or prolonged use of Ataxy 10 Tablet may cause sleepiness and other effects in the baby
