faqs_0,faqs_1,faqs_2,faqs_3,faqs_4,faqs_5,faqs_6,faqs_7,faqs_8,faqs_9,faqs_10,faqs_11,faqs_12,faqs_13,faqs_14
,,,,,,,,,,,,,,
"{'0': ""Q. What is Meniere's disease? Does it go away?"", '1': ""Meniere's disease is a disorder of the balance and hearing organs in the inner ear. The symptoms include vertigo, fluctuations in hearing, tinnitus (ringing of the ears), and pressure in the ears. Along with that, one may experience dizziness which in turn may cause nausea and vomiting. The treatment for Meniere's disease depends on various factors. Hence, an open discussion with the doctor can help to determine the best treatment strategy in your personal case.""}","{'0': 'Q. Is Aver 8mg Tablet effective?', '1': 'Aver 8mg Tablet is effective if used in the dose and duration advised by your doctor. Do not stop taking it even if you see improvement in your condition. If you stop using Aver 8mg Tablet too early, the symptoms may return or worsen.'}","{'0': ""Q. What are the triggers for Meniere's disease?"", '1': ""Meniere's disease can be triggered by conditions like stress, overwork, fatigue, emotional distress, additional illnesses, and pressure changes. Along with that, certain foods such as dairy products, caffeine, alcohol, and foods with high sodium content may trigger Meniere's disease. A 2-gram/day low-salt diet can help control vertigo in Meniere's disease.""}","{'0': 'Q. What if I forget to take a dose of Aver 8mg Tablet?', '1': 'If you forget a dose of Aver 8mg Tablet, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take the next dose at the scheduled time. Do not double the dose to make up for the missed one as this may increase the chances of developing side effects.'}","{'0': 'Q. Is stress a reason for vertigo?', '1': 'Mental stress can trigger vertigo. It can make many forms of vertigo worse, but will not, by itself, produce vertigo.'}","{'0': 'Q. What are the causes of vertigo?', '1': ""Vertigo may be caused either by a sudden drop in blood pressure or because of being dehydrated. Many people feel lightheaded if they get up too quickly from sitting or lying down. Along with that, motion sickness, certain medicines, and problems with your inner ear (Meniere's disease, acoustic neuroma) may cause vertigo. It is important to know that sometimes vertigo can be a symptom of other disorders (multiple sclerosis, following head trauma) as well.""}","{'0': 'Q. How long should Aver 8mg Tablet be taken?', '1': 'Duration of treatment with Aver 8mg Tablet may vary from patient to patient. Some people respond rapidly to treatment while others may take some time. Hence, it is advised to take your tablets regularly and wait for the results patiently. Consult the doctor if not sure.'}","{'0': 'Q. What are the common side effects of Aver 8mg Tablet?', '1': 'Aver 8mg Tablet can cause mild stomach problems such as vomiting, stomach pain, stomach swelling (abdominal distension), and bloating. You can reduce the chances of getting these side effects by taking Aver 8mg Tablet with food. However, the absorption of Aver 8mg Tablet may get reduced when taken with food.'}",,,,,,,
"{'0': 'Q. Is Argex 250mg Capsule safe?', '1': 'Argex 250mg Capsule is safe if used at prescribed doses for the prescribed duration as advised by your doctor.'}","{'0': ""Q. What if I don't get better?"", '1': 'You should inform your doctor if you do not notice any improvement in your symptoms after 3 days of taking Argex 250mg Capsule. Also, if your symptoms get worse, inform your doctor immediately.'}","{'0': 'Q. Can the use of Argex 250mg Capsule cause diarrhea?', '1': 'Yes, the use of Argex 250mg Capsule can cause diarrhea. It is an antibiotic which kills the harmful bacteria. However, it also affects the helpful bacteria in your stomach or intestine and causes diarrhea. If you are experiencing severe diarrhea, talk to your doctor about it.'}","{'0': 'Q. Can Argex 250mg Capsule be taken at night?', '1': 'Argex 250mg Capsule is usually prescribed once daily. You can take it at any time of the day, but remember to take it at the same time each day. The medicine should be taken 1 hour before meals or 2 hours after eating food. You can take the tablet preparation with or without food. However, you must take Argex 250mg Capsule exactly as advised by your doctor and ask your doctor if you have any doubts.'}","{'0': 'Q. How long does it take Argex 250mg Capsule to work?', '1': 'Argex 250mg Capsule starts working within a few hours of taking it. You may notice an improvement in symptoms after a few days. Do not stop taking the medicine without completing the course mentioned by your doctor. Stopping the medicine without consulting your doctor may cause the infection to come back which may be more difficult to treat.'}","{'0': 'Q. Why is Argex 250mg Capsule given for 3 days?', '1': 'The duration of treatment depends on the type of infection being treated and the age of the patient. Argex 250mg Capsule is not necessarily given for 3 days. In most bacterial infections, a single dose of 500 mg is given for 3 days. Alternatively, it can be given as 500 mg once on day 1 and then 250 mg once from day 2 to day 5. In some cases of infection such as genital ulcer disease, it is given as a single 1 gram dose. Therefore, you must stick to the regime advised by your doctor.'}","{'0': 'Q. What should I avoid while taking Argex 250mg Capsule?', '1': 'Generally, it is recommended that patients taking Argex 250mg Capsule should avoid taking any antacid with this medicine as this can affect the overall effectiveness of Argex 250mg Capsule. It is also recommended to avoid exposure to sunlight or tanning beds as Argex 250mg Capsule increases the risk of sunburn.'}","{'0': 'Q. Is Argex 250mg Capsule a strong antibiotic?', '1': 'Argex 250mg Capsule is an effective antibiotic that is used for the treatment of many bacterial infections. Compared to other antibiotics, Argex 250mg Capsule has a longer half-life which means that it stays in the body for a long time because of which it is given once a day and for a short span of time. Other antibiotics comparatively have a shorter half-life and are usually given twice, thrice, or four times a day.'}","{'0': 'Q. Can you get a yeast infection from taking Argex 250mg Capsule?', '1': 'Some people may get a fungal or yeast infection known as thrush after taking Argex 250mg Capsule. Antibiotics such as Argex 250mg Capsule can kill the normal or ‘good bacteria’ of your intestine responsible for preventing thrush. You should inform your doctor if you get a sore or vaginal itching or discharge. Also, inform your doctor if you get a white patch in the mouth or tongue after taking Argex 250mg Capsule or soon after stopping it.'}",,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"{'0': 'Q. What is Amigatin LS 100mg/10mg Tablet?', '1': 'Amigatin LS 100mg/10mg Tablet is a combination of two medicines: Gabapentin and Amitriptyline. This medicine is useful in the treatment of nerve pain (neuropathic pain). This medicine calms the damaged or overactive nerves by acting on the brain, thereby decreasing the pain sensation.'}","{'0': 'Q. Can I stop taking Amigatin LS 100mg/10mg Tablet when my pain is relieved?', '1': 'No, you should not stop taking Amigatin LS 100mg/10mg Tablet even if your pain is relieved. Continue to take it as advised by your doctor. If you stop taking Amigatin LS 100mg/10mg Tablet suddenly, you may experience withdrawal symptoms such as anxiety, sleeping difficulties, nausea, pain and sweating. You may need to gradually taper the dose before you stop the medication completely.'}","{'0': 'Q. How to manage weight gain associated with the use of Amigatin LS 100mg/10mg Tablet?', '1': 'The use of Amigatin LS 100mg/10mg Tablet can make you feel hungry which might make you eat more, thereby increasing your chances of putting on weight. However, preventing weight gain is easier than losing increased weight. Try to eat a healthy balanced diet without increasing your portion sizes (per-meal intake). Do not eat foods that contain a lot of calories, such as soft drinks, oily food, chips, cakes, biscuits and sweets. If you feel hungry between meals, avoid eating junk food and eat fruits, vegetables and low-calorie foods. Regular exercise will also help prevent weight gain. If you keep good eating habits and exercise regularly, you might not gain any weight.'}","{'0': 'Q. Can the use of Amigatin LS 100mg/10mg Tablet cause sleepiness or drowsiness?', '1': 'Yes, Amigatin LS 100mg/10mg Tablet may make you feel drowsy or you may suddenly fall asleep during your daily activities. Sometimes, you might not even feel drowsy or have any other warning signs before you suddenly fall asleep. Avoid driving a car, operating machinery, working at heights or participating in potentially dangerous activities until you know how the medicine affects you. Inform your doctor if you experience such episodes while taking this medicine.'}","{'0': 'Q. Can the use of Amigatin LS 100mg/10mg Tablet affect my sex life?', '1': 'The use of Amigatin LS 100mg/10mg Tablet can affect the sexual life of both men and women. Different sexual problems can occur due to Amigatin LS 100mg/10mg Tablet like decreased sexual desire, erectile dysfunction (inability to develop or maintain an erection during the sexual activity) and inability to reach orgasm. It can also cause a decrease in satisfaction and cause discomfort during intercourse. If you experience these problems, discuss with your doctor. Do not stop taking Amigatin LS 100mg/10mg Tablet.'}","{'0': 'Q. Can the use of Amigatin LS 100mg/10mg Tablet change the color of urine?', '1': 'Yes, Amigatin LS 100mg/10mg Tablet can the change the color of the urine to blue or green color. This change in color is expected while using Amigatin LS 100mg/10mg Tablet, and it is not harmful. Your urine color becomes normal once you stop taking Amigatin LS 100mg/10mg Tablet.'}","{'0': 'Q. Are there any serious side effects associated with the use of Amigatin LS 100mg/10mg Tablet?', '1': 'Serious side effects with Amigatin LS 100mg/10mg Tablet are uncommon and rare. Tell your doctor as soon as possible if you notice changes in body temperature, difficulty in breathing, increased heartbeat (palpitations), weakness, unsteadiness when walking, reduced coordination or slowed reactions, unusual changes in mood or behavior such as restlessness, nervousness or excitement, signs of depression, seeing or hearing things that are not there, irrational thinking, blurred or double vision, uncontrollable jerky eye movements, difficulty seeing, signs of frequent infections such as fever, severe chills, sore throat or mouth ulcers. These side effects are uncommon but may be serious and may need urgent medical attention.'}","{'0': 'Q. How long will Amigatin LS 100mg/10mg Tablet take to act?', '1': 'An initial benefit of Amigatin LS 100mg/10mg Tablet may be seen after 2 weeks of treatment. However, it may take around 2-3 months to see the full benefit. It may even take longer in some patients.'}","{'0': 'Q. What if I forget to take Amigatin LS 100mg/10mg Tablet?', '1': 'If you forget to take the scheduled dose of Amigatin LS 100mg/10mg Tablet and it is almost time for your next dose, skip the dose you missed and take your next dose at the scheduled time. Otherwise, take it as soon as you remember, and then go back to taking your medicine as you would normally. Do not take a double dose to make up for the dose you missed because this may increase the risk of unwanted side effect. If you are not sure what to do, ask your doctor about taking Amigatin LS 100mg/10mg Tablet.'}","{'0': 'Q. What if I take too much of Amigatin LS 100mg/10mg Tablet by mistake?', '1': 'In a situation like this, contact your doctor immediately or seek emergency help at the nearest hospital. Do this even if there are no signs of discomfort or poisoning. You may need urgent medical attention. Symptoms of an overdose may include drowsiness, weakness, unsteady when walking, having double visions, slurred speech or diarrhea, confusion, blurred vision, dizziness, body temperature changes (low and high), difficulty in breathing and increased heart beat.'}","{'0': 'Q. Will a higher than the recommended dose of Amigatin LS 100mg/10mg Tablet be more effective?', '1': 'No, taking a higher than the recommended dose may not be more effective, rather it may increase the chances of having some serious side effects and toxicity. If you experience increased severity of your symptoms, that are not relieved by the recommended doses, please consult your doctor for re-evaluation.'}","{'0': 'Q. Is there anything I need to avoid while taking Amigatin LS 100mg/10mg Tablet?', '1': 'Amigatin LS 100mg/10mg Tablet may impair your thinking or reactions. Be careful while driving or doing an activity that requires you to be alert. Do not drink alcohol while taking Amigatin LS 100mg/10mg Tablet. It can increase the effects of alcohol, which could be dangerous. Grapefruit and grapefruit juice may also interact with this medicine and cause unwanted side effects. Avoid exposure to sunlight or tanning beds. Use of Amigatin LS 100mg/10mg Tablet can make you more prone to sunburns. Wear protective clothing and use sunscreen when you are outdoors during daytime.'}","{'0': 'Q. How often should I see the doctor?', '1': 'You may need to see your doctor regularly if you have started to take Amigatin LS 100mg/10mg Tablet. However, if the recommended dosage does not improve your symptoms or you experience some unwanted side effect that affects your routine activities, consult your doctor.'}","{'0': 'Q. What are the instructions for the storage and disposal of Amigatin LS 100mg/10mg Tablet?', '1': 'Keep this medicine in the packet or the container it came in, tightly closed. Store it according to the instructions mentioned on the pack or label. Dispose of the unused medicine. Make sure it is not consumed by pets, children and other people.'}",
"{'0': 'Q. Is it safe to use Avilpro D 10mg/20mg Capsule?', '1': 'Yes, Avilpro D 10mg/20mg Capsule is safe for most of the patients. However, in some patients it may cause common side effects like diarrhea, stomach pain, flatulence, dryness in the mouth, dizziness, headache and other uncommon and rare side effects. Inform your doctor if you experience any persistent problem while taking this medicine.'}","{'0': 'Q. What are the contraindications of Avilpro D 10mg/20mg Capsule?', '1': 'The use of Avilpro D 10mg/20mg Capsule is considered to be harmful in patients with a known hypersensitivity to omeprazole or domperidone or any other inactive ingredients present in the medicine. Cautious use is advised in patients with underlying kidney or liver disease.'}","{'0': 'Q. What is the best time to take Avilpro D 10mg/20mg Capsule?', '1': 'It is best to take the medicine daily before breakfast or on an empty stomach.'}","{'0': 'Q. Can the use of Avilpro D 10mg/20mg Capsule cause abnormal heartbeat?', '1': 'Yes, the use of Avilpro D 10mg/20mg Capsule can cause an increased risk of irregular heartbeat (serious arrhythmias). These are serious side effects but the chances that it may happen is very low. The risk may be slightly higher in those who are more than 60 years of age.'}","{'0': 'Q. Does the use of Avilpro D 10mg/20mg Capsule lead to dry mouth?', '1': 'Yes, the use of Avilpro D 10mg/20mg Capsule can cause dry mouth. Dryness of mouth occurs due to Domperidone, which is present in this combination. If you experience dry mouth, drink plenty of water. Take regular sips of water during the day and keep some water on your bedside at night. Cut down the intake of alcohol and avoid smoking. If you have dry mouth, try to use alcohol-free mouthwash as its use increases the risk of tooth decay.'}","{'0': 'Q. What is the recommended storage condition for Avilpro D 10mg/20mg Capsule?', '1': 'Keep this medicine in the container or pack it came in, tightly closed. Store it according to the instructions mentioned on the pack or label. Dispose of the unused medicine. Make sure it is not consumed by pets, children and other people.'}",,,,,,,,,
"{'0': 'Q. What is Apenta 40mg Tablet used for?', '1': 'Apenta 40mg Tablet is used for the treatment of peptic ulcer disease, reflux esophagitis, or gastroesophageal reflux disease (GERD). Apenta 40mg Tablet prevents acidity associated with the use of painkillers. It is also used to treat a disease associated with excessive acid production in the stomach known as Zollinger Ellison syndrome (ZES). It works by reducing the amount of acid made by your stomach and thus relieves your symptoms.'}","{'0': 'Q. How long does it take for Apenta 40mg Tablet to work?', '1': 'You should start to feel better within 2 to 3 days. It may take up to 4 weeks for Apenta 40mg Tablet to work properly so you may still have some symptoms during this time.'}","{'0': 'Q. Is a single dose of Apenta 40mg Tablet sufficient?', '1': 'No, a single dose may not be sufficient. However, with only a few doses of Apenta 40mg Tablet, you may get relief with the symptoms. Apenta 40mg Tablet is usually needed only for a short term or up to 2 weeks for heartburn, indigestion, acid reflux. However, if the need arises, such as for treating peptic ulcer disease and Zollinger Ellison syndrome (ZES), Apenta 40mg Tablet may be prescribed for a long-term duration as well. Please consult your doctor if you do not feel better even after taking Apenta 40mg Tablet regularly for 2 weeks as prescribed.'}","{'0': 'Q. Is Apenta 40mg Tablet safe?', '1': 'Yes, Apenta 40mg Tablet is relatively safe. Most of the people who take Apenta 40mg Tablet do not get a side effect. It is advised to be taken as directed by the doctor for maximum benefits.'}","{'0': 'Q. Can I take Apenta 40mg Tablet for a long term?', '1': 'Apenta 40mg Tablet is usually prescribed for short-term use only. However, if the need arises, such as for treating peptic ulcer disease, ZE syndrome, etc. Apenta 40mg Tablet may be prescribed for a long-term duration as well. Long-term use may carry an increased risk for side effects and must be discussed with the doctor. Please use Apenta 40mg Tablet as advised by your doctor and under their supervision.'}","{'0': 'Q. What are the long term side effects of Apenta 40mg Tablet?', '1': 'If Apenta 40mg Tablet is used for more than 3 months, certain long-term side effects may be seen. The most important of these is low magnesium levels in your blood which may make you feel tired, confused, dizzy, shaky, or dizzy. You may also have muscle twitches or irregular heartbeat. If the use is further prolonged for more than a year, you may have an increased risk of bone fractures, stomach infections, and vitamin B12 deficiency. Vitamin B12 deficiency can make you anemic, as a result of which you may feel more tired, weak, or pale. Additionally, you may have palpitations, shortness of breath, lightheadedness, indigestion, loss of appetite, flatulence (gas), or nerve problems such as numbness, tingling, and problem in walking.'}","{'0': 'Q. What is the best time to take Apenta 40mg Tablet?', '1': 'Usually, Apenta 40mg Tablet is taken once a day, first thing in the morning. If you take Apenta 40mg Tablet twice a day, take 1 dose in the morning and 1 dose in the evening. The tablets should be swallowed whole (remember not to be chewed or crushed) and taken at least 1 hour before a meal with some water.'}","{'0': 'Q. Can I stop taking Apenta 40mg Tablet if I feel better?', '1': 'If you have been taking Apenta 40mg Tablet for a long time. Stopping it abruptly may lead to increased acid production, thereby worsening your symptoms. Therefore, you must discuss any dose changes or if you wish to come off Apenta 40mg Tablet.'}","{'0': 'Q. Does Apenta 40mg Tablet cause weight gain?', '1': 'Although rare but long-term treatment with Apenta 40mg Tablet may cause weight gain. The reason could be the relief from reflux symptoms which could make you eat more. Consult your doctor for any weight-related concern.'}","{'0': 'Q. Can I take alcohol with Apenta 40mg Tablet?', '1': 'No, alcohol intake is not advised with Apenta 40mg Tablet. Alcohol itself does not affect the working of Apenta 40mg Tablet, but it can increase the acid production. This may further cause worsening of your symptoms.'}","{'0': 'Q. Can I take antacids along with Apenta 40mg Tablet?', '1': 'Yes, you can take antacids along with Apenta 40mg Tablet. Take it 2 hours before or after you take Apenta 40mg Tablet.'}","{'0': 'Q. What dietary changes should I make to get relief from acidity?', '1': 'Apenta 40mg Tablet is best taken 1 hour before a meal. You should avoid spicy and fatty foods while taking this medicine. You must refrain from caffeinated drinks such as tea, coffee and cola. Alcohol intake should also be avoided as it may worsen your symptoms.'}","{'0': 'Q. Are painkillers safe to take along with Apenta 40mg Tablet?', '1': 'Yes, it is safe to take painkillers along with Apenta 40mg Tablet. Apenta 40mg Tablet prevents acidity and stomach ulcers associated with the intake of painkillers. Apenta 40mg Tablet is taken 1 hour before a meal. On the other hand, painkillers are usually taken with, or after a meal to avoid stomach upset.'}",,
"{'0': 'Q. What is Angenec Plus 250 mg/50 mg/325 mg Tablet?', '1': 'Angenec Plus 250 mg/50 mg/325 mg Tablet is a combination of three medicines: Diclofenac, Paracetamol, and Chlorzoxazone. This medication helps in relieving muscle pain. Chlorzoxazone is a muscle relaxant which works by acting on the central nervous system. Diclofenac and Paracetamol work by lowering the chemical substance (prostaglandins) in the body that causes pain and inflammation.'}","{'0': 'Q. Is it safe to use Angenec Plus 250 mg/50 mg/325 mg Tablet?', '1': 'Angenec Plus 250 mg/50 mg/325 mg Tablet is safe for most of the patients. However, in some patients it may cause common side effects like nausea, vomiting, heartburn, stomach pain, diarrhea, loss of appetite, dryness in the mouth, weakness, sleepiness and other uncommon or rare side effects. Inform your doctor as soon as possible if you experience any persistent problem due to the medication.'}","{'0': 'Q. Can I stop taking Angenec Plus 250 mg/50 mg/325 mg Tablet when my pain is relieved?', '1': 'Angenec Plus 250 mg/50 mg/325 mg Tablet should be continued if advised for a specific time duration by your doctor. However, it can be discontinued if you are using it for short-term pain relief.'}","{'0': 'Q. Can the use of Angenec Plus 250 mg/50 mg/325 mg Tablet cause nausea and vomiting?', '1': 'Yes, the use of Angenec Plus 250 mg/50 mg/325 mg Tablet can cause nausea and vomiting. In case, you experience nausea while taking this medicine, take it with milk, food or with antacids. Avoid taking fatty or fried foods along with this medication. In case of vomiting, drink plenty of water or other fluids by taking small frequent sips. Talk to your doctor if vomiting persists and you notice signs of dehydration, like dark colored and strong-smelling urine and a low frequency of urination. Do not take any other medicine without speaking to your doctor.'}","{'0': 'Q. Can the use of Angenec Plus 250 mg/50 mg/325 mg Tablet cause dizziness?', '1': 'Yes, the use of Angenec Plus 250 mg/50 mg/325 mg Tablet can cause dizziness (feeling faint, weak, unsteady or lightheaded) in some patients. If you feel dizzy or lightheaded, it is better to rest for sometime and resume once you feel better.'}","{'0': 'Q. Can the use of Angenec Plus 250 mg/50 mg/325 mg Tablet cause damage to kidneys?', '1': 'Yes, the long-term use of Angenec Plus 250 mg/50 mg/325 mg Tablet can cause damage to the kidneys. Normal kidneys produce a chemical called prostaglandins that protect them from damage. Use of painkillers lowers the levels of prostaglandins in the body leading to kidney damage on long-term use. Use of painkillers is not recommended to patients with underlying kidney disease.'}","{'0': 'Q. Can I take a higher than the recommended dose of this medicine?', '1': 'No, taking a higher than the recommended dose of Angenec Plus 250 mg/50 mg/325 mg Tablet can increase the risks of side effects. If you are experiencing increased severity of pain or if the pain is not relieved by the recommended doses, please consult your doctor for re-evaluation.'}","{'0': 'Q. What are the recommended storage conditions for Angenec Plus 250 mg/50 mg/325 mg Tablet?', '1': 'Keep this medicine in the container or the pack it came in, tightly closed. Store it according to the instructions mentioned on the pack or label. Dispose of the unused medicine. Make sure it is not consumed by pets, children and other people.'}",,,,,,,
"{'0': 'Q. How much Alice 125mg/5ml Syrup should I give to my child?', '1': ""Always follow your doctor's instructions regarding how much of the medicine to give and how often to give it. This depends on the strength of the medicine and the age of your child. You may also check the label or the leaflet inside the packaging for directions before use. The commonly recommended dose is 10-15 mg/kg per dose every 4 to 6 hours. In case you are not sure how much to give, consult your child’s doctor.""}","{'0': 'Q. When will my child’s condition improve after taking Alice 125mg/5ml Syrup?', '1': 'Alice 125mg/5ml Syrup usually starts working within 30 to 60 mins of intake and shows its peak effect within 3 to 4 hours. Your child may start to feel better after a few doses. In case the pain or fever persists longer, consult your child’s doctor immediately.'}","{'0': 'Q. My child vomited after taking Alice 125mg/5ml Syrup. What should I do?', '1': 'If your child vomits within 30 minutes of taking Alice 125mg/5ml Syrup, repeat the dose again. If it has been more than 30 minutes after taking Alice 125mg/5ml Syrup and your child vomits, no need to repeat the dose and wait until it is time for the next dose. If you are not sure, consult your doctor.'}","{'0': 'Q. Can I give Alice 125mg/5ml Syrup to my child for low-grade fever?', '1': 'You can give this medicine if your child has a temperature of 38.3°C (101°F) or higher. But, you must always try to speak to your child’s doctor first.'}","{'0': 'Q. My child’s fever is persistent even after taking Alice 125mg/5ml Syrup. What should I do?', '1': ""If the fever doesn't come down after the initial few doses, the cause might be an infection (virus or bacteria). It is advised to consult your child’s doctor for specific treatment.""}","{'0': 'Q. How much of Alice 125mg/5ml Syrup is considered as overdose?', '1': 'You should only take four doses of Alice 125mg/5ml Syrup in 24 hours. There should be a gap of at least 4-6 hours between two doses. Do not take it for more than 3 days without first talking to your doctor. Based on the dose, more than 250 mg/kg can lead to toxicity and can be potentially fatal. An overdose is capable of causing serious damage to the liver and kidneys. Inform your doctor immediately if you think you have given too much of this medicine to your child, even if your child seems well, because of the risk of delayed, serious liver damage.'}","{'0': 'Q. Is there any special diet my child needs to follow while taking this medicine?', '1': 'Unless instructed by your doctor, your child should take a normal balanced diet while continuing this medicine as lack of nutrition can put your child at risk of developing medicinal toxicity.'}","{'0': 'Q. Where should I store this medicine?', '1': 'Keep this medicine at room temperature in a dry place beyond the reach of the children.'}","{'0': 'Q. In what conditions Alice 125mg/5ml Syrup must be given with caution?', '1': 'It is advised to use Alice 125mg/5ml Syrup with caution if the child has malnutrition, G6PD deficiency, liver disease, or any medicinal allergy. So, do not hesitate to share your child’s complete medical history with the doctor as that will help the doctor decide whether the medicine is safe for your child or not.'}","{'0': 'Q. Can I give Alice 125mg/5ml Syrup on a routine basis when my child is taking a vaccine?', '1': 'Alice 125mg/5ml Syrup usually do not interfere with the ingredients in vaccines or cause a bad reaction in a child who has just been vaccinated. However, it is best if you let your child recover from the ongoing illness and finish the course of the medicine As soon as a child is feeling better the vaccine can and should be given.'}","{'0': 'Q. Can Alice 125mg/5ml Syrup make babies/ toddlers sleep when used for teething pain?', '1': 'Alice 125mg/5ml Syrup may help to relieve teething pain in infants and children but it does not make them sleep. The child may go to sleep once the pain is relieved.'}",,,,
"{'0': 'Q. What if I give too much of Acufix 50mg Tablet DT by mistake?', '1': 'An extra dose of Acufix 50mg Tablet DT is unlikely to do harm. However, if you think you have given too much of Acufix 50mg Tablet DT to your child, immediately speak to a doctor. Overdose may cause unwanted side effects and may even worsen your child’s condition.'}","{'0': 'Q. Are there any possible serious side effects of Acufix 50mg Tablet DT?', '1': 'Some serious side effects of this medicine include persistent vomiting, kidney damage, allergy, diarrhea, and severe gastrointestinal infections. Always consult your child’s doctor for help in such a situation.'}","{'0': 'Q. Can other medicines be given at the same time as Acufix 50mg Tablet DT?', '1': 'Acufix 50mg Tablet DT can sometimes interact with other medicines or substances. Tell your doctor about any other medicines your child is taking before starting Acufix 50mg Tablet DT. Also, check with your child’s doctor before giving any medicine to your child.'}","{'0': 'Q. Can I get my child vaccinated while on treatment with Acufix 50mg Tablet DT?', '1': 'Antibiotics usually do not interfere with the ingredients in vaccines or cause a bad reaction in a child who has just been vaccinated. However, children taking antibiotics should not get vaccinated until they recover from the illness. As soon as your child feels better, the vaccine can be given.'}","{'0': 'Q. Which lab tests may my child undergo while taking Acufix 50mg Tablet DT on a long-term basis?', '1': 'The doctor may prescribe getting kidney function tests and liver function tests periodically to keep a check on your child’s condition.'}","{'0': 'Q. The mucus coming out of my child’s nose is yellow-green. Is it a sign of a bacterial infection?', '1': 'Yellow or green mucus in the nose does not mean that antibiotics are needed. During a common cold, it is normal for mucus to thicken up and change from clear to yellow or green. Symptoms often last for 7-10 days.'}","{'0': 'Q. Does a common cold caused by viruses always result in a secondary bacterial infection? When to start an antibiotic to prevent infection?', '1': ""In most cases, bacterial infections do not follow viral infections. Using antibiotics to treat viral infections may instead lead to side effects without benefiting your child's health. Use antibiotics only after consulting with your child’s doctor.""}","{'0': 'Q. Can Acufix 50mg Tablet DT impact my child’s digestive system?', '1': 'Children often have a sensitive stomach and develop a stomach upset while taking antibiotics. When antibiotics are given, the good bacteria in their gastrointestinal tract may take a hit too. Acufix 50mg Tablet DT may kill off the good bacteria along with the bad, increasing the risk of developing other infections. In case your child is having diarrhea while on Acufix 50mg Tablet DT, do not stop the medicine course. Instead, call your child’s doctor to ask about the next steps. In some cases, the doctor may alter the dose.'}","{'0': 'Q. Can Acufix 50mg Tablet DT lead to bacterial resistance in my child? ', '1': 'Yes, irregular treatment, repeated use,, and misuse of Acufix 50mg Tablet DT can lead to resistance. Resistant bacteria are no longer killed by the antibiotics and may lead to reinfection.'}",,,,,,
,,,,,,,,,,,,,,
"{'0': 'Q. Is Azigon 500mg Tablet safe?', '1': 'Azigon 500mg Tablet is safe if used at prescribed doses for the prescribed duration as advised by your doctor.'}","{'0': ""Q. What if I don't get better?"", '1': 'You should inform your doctor if you do not notice any improvement in your symptoms after 3 days of taking Azigon 500mg Tablet. Also, if your symptoms get worse, inform your doctor immediately.'}","{'0': 'Q. Can the use of Azigon 500mg Tablet cause diarrhea?', '1': 'Yes, the use of Azigon 500mg Tablet can cause diarrhea. It is an antibiotic which kills the harmful bacteria. However, it also affects the helpful bacteria in your stomach or intestine and causes diarrhea. If you are experiencing severe diarrhea, talk to your doctor about it.'}","{'0': 'Q. Can Azigon 500mg Tablet be taken at night?', '1': 'Azigon 500mg Tablet is usually prescribed once daily. You can take it at any time of the day, but remember to take it at the same time each day. The medicine should be taken 1 hour before meals or 2 hours after eating food. You can take the tablet preparation with or without food. However, you must take Azigon 500mg Tablet exactly as advised by your doctor and ask your doctor if you have any doubts.'}","{'0': 'Q. How long does it take Azigon 500mg Tablet to work?', '1': 'Azigon 500mg Tablet starts working within a few hours of taking it. You may notice an improvement in symptoms after a few days. Do not stop taking the medicine without completing the course mentioned by your doctor. Stopping the medicine without consulting your doctor may cause the infection to come back which may be more difficult to treat.'}","{'0': 'Q. Why is Azigon 500mg Tablet given for 3 days?', '1': 'The duration of treatment depends on the type of infection being treated and the age of the patient. Azigon 500mg Tablet is not necessarily given for 3 days. In most bacterial infections, a single dose of 500 mg is given for 3 days. Alternatively, it can be given as 500 mg once on day 1 and then 250 mg once from day 2 to day 5. In some cases of infection such as genital ulcer disease, it is given as a single 1 gram dose. Therefore, you must stick to the regime advised by your doctor.'}","{'0': 'Q. What should I avoid while taking Azigon 500mg Tablet?', '1': 'Generally, it is recommended that patients taking Azigon 500mg Tablet should avoid taking any antacid with this medicine as this can affect the overall effectiveness of Azigon 500mg Tablet. It is also recommended to avoid exposure to sunlight or tanning beds as Azigon 500mg Tablet increases the risk of sunburn.'}","{'0': 'Q. Is Azigon 500mg Tablet a strong antibiotic?', '1': 'Azigon 500mg Tablet is an effective antibiotic that is used for the treatment of many bacterial infections. Compared to other antibiotics, Azigon 500mg Tablet has a longer half-life which means that it stays in the body for a long time because of which it is given once a day and for a short span of time. Other antibiotics comparatively have a shorter half-life and are usually given twice, thrice, or four times a day.'}","{'0': 'Q. Can you get a yeast infection from taking Azigon 500mg Tablet?', '1': 'Some people may get a fungal or yeast infection known as thrush after taking Azigon 500mg Tablet. Antibiotics such as Azigon 500mg Tablet can kill the normal or ‘good bacteria’ of your intestine responsible for preventing thrush. You should inform your doctor if you get a sore or vaginal itching or discharge. Also, inform your doctor if you get a white patch in the mouth or tongue after taking Azigon 500mg Tablet or soon after stopping it.'}",,,,,,
